method_profile,title,status,evidence_status,shacl_conforms,field_count,result_requirement
tem,Transmission electron microscopy,generated,source_grounded,True,12,required
sem,Scanning electron microscopy,generated,source_grounded,True,11,required
fib_sem,FIB-SEM tomography,generated,source_grounded,True,24,required
ic_sem,Ion-cut scanning electron microscopy,generated,source_grounded,True,22,required
afm,Atomic force microscopy,generated,source_grounded,True,13,required
neutron_tomography,Neutron tomography,generated,source_grounded,False,16,required
synchrotron_xray_tomography,Synchrotron X-ray tomography,generated,source_grounded,True,14,deferred
xrd,X-ray diffraction,generated,source_grounded,True,13,required
xps,X-ray photoelectron spectroscopy,generated,illustrative_existing_pilot,True,15,required
