id,upstream_method_id,downstream_method_id,upstream_workflow_id,downstream_workflow_id,upstream_occurrence_id,downstream_occurrence_id,declarations,reciprocity_state,handoff_labels,handoff_anchor_iris,predicate,publication_status,review_rationale
manual-dependency-0010-62329bc5f6,BOSCH-Exp-gdl-compressability,CEA-Mod-europium-model-fitting,gdl-compressability,fitting-of-the-europium-model,gdl-compressability::n6,fitting-of-the-europium-model::n61,input_method; output_method,confirmed_reciprocal,GDL substrate thickness; GDL stress-strain curve,https://w3id.org/h2kg/decode/workflow/anchor/gdl-stress-strain-curve-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-thickness-component,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0011-af243fbce7,BOSCH-Exp-gdl-compressability,CIEMAT-Exp-current-modulated-hydrogen-flow-rate-spectroscopy,gdl-compressability,current-modulated-hydrogen-flow-rate-spectroscopy-ch2s,gdl-compressability::n6,current-modulated-hydrogen-flow-rate-spectroscopy-ch2s::n14,input_method; output_method,confirmed_reciprocal,GDL substrate thickness; GDL stress-strain curve,https://w3id.org/h2kg/decode/workflow/anchor/gdl-stress-strain-curve-component; https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-thickness-component,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0012-9c1e815f0f,BOSCH-Exp-gdl-compressability,FZJ-IET-3-Mod-diffusivities-tortuosities,gdl-compressability,diffusivities-from-tortuosities,gdl-compressability::n6,diffusivities-from-tortuosities::n13,input_method; output_method,confirmed_reciprocal,GDL thickness; GDL substrate thickness,https://w3id.org/h2kg/decode/workflow/anchor/gdl-substrate-thickness-component; https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0013-fe7ee53bda,BOSCH-Exp-gdl-compressability,FZJ-IET-3-Mod-performance-model-mea-fitting,gdl-compressability,iet-1d-performance-model-for-mea-fitting,gdl-compressability::n6,iet-1d-performance-model-for-mea-fitting::n13,input_method; output_method,confirmed_reciprocal,GDL thickness,https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0014-841c295b83,BOSCH-Exp-gdl-compressability,FZJ-IET-3-Mod-performance-model-mea-prediction,gdl-compressability,iet-1d-performance-model-for-mea-prediction,gdl-compressability::n6,iet-1d-performance-model-for-mea-prediction::n28,input_method; output_method,confirmed_reciprocal,GDL thickness,https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0015-f3daab60cf,BOSCH-Exp-gdl-compressability,0d-particle-population-degradation-model-coupled-with-performance-model-prediction,gdl-compressability,0d-particle-population-degradation-model-coupled-with-performance-model-prediction,gdl-compressability::n6,0d-particle-population-degradation-model-coupled-with-performance-model-prediction::n32,output_method,grounded_one_sided,GDL thickness,https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_pending_review,One record declares the dependency and an exact reviewed handoff grounds a pending-review link.
manual-dependency-0016-55898f5002,BOSCH-Exp-gdl-compressability,electrical-conductivity,gdl-compressability,electrical-conductivity,gdl-compressability::n6,electrical-conductivity::n10,output_method,grounded_one_sided,GDL thickness; GDL stress-strain curve,https://w3id.org/h2kg/decode/workflow/anchor/gdl-stress-strain-curve-component; https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_pending_review,One record declares the dependency and an exact reviewed handoff grounds a pending-review link.
manual-dependency-0017-eab8a6cee5,BOSCH-Exp-gdl-compressability,electrical-contact-resistance,gdl-compressability,electrical-contact-resistance,gdl-compressability::n6,electrical-contact-resistance::n11,output_method,grounded_one_sided,GDL thickness; GDL stress-strain curve,https://w3id.org/h2kg/decode/workflow/anchor/gdl-stress-strain-curve-component; https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_pending_review,One record declares the dependency and an exact reviewed handoff grounds a pending-review link.
manual-dependency-0018-6e8a0dbf7a,BOSCH-Exp-gdl-compressability,iet-1d-mea-with-water-transport-eis-model,gdl-compressability,iet-1d-mea-with-water-transport-eis-model,gdl-compressability::n6,iet-1d-mea-with-water-transport-eis-model::n24,output_method,grounded_one_sided,GDL thickness,https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_pending_review,One record declares the dependency and an exact reviewed handoff grounds a pending-review link.
manual-dependency-0019-ed9dbe8c34,BOSCH-Exp-gdl-compressability,iet-1d-mea-with-water-transport-in-ccl-eis-model,gdl-compressability,iet-1d-mea-with-water-transport-in-ccl-eis-model,gdl-compressability::n6,iet-1d-mea-with-water-transport-in-ccl-eis-model::n19,output_method,grounded_one_sided,GDL thickness,https://w3id.org/h2kg/hydrogen-ontology#GasDiffusionLayerThickness,http://www.w3.org/ns/prov#wasInformedBy,published_pending_review,One record declares the dependency and an exact reviewed handoff grounds a pending-review link.
